D:\bf2editor\Code\BF2\Core\Profiler.cpp(720): Calibration of profiler took:8.50036e-006 seconds
D:\bf2editor\Code\BF2\Core\EventManager.cpp(77): Event 1 in cat 5 registered as ECCoreCEChangedSetting
D:\bf2editor\Code\BF2\IO\Console\Console.cpp(1402): (0) Wrong syntax!: --- RISING FIXES AND BRANDING ---  (clientarchives.con)
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/rising/fix/weapons_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bfheroes/rising/fix/weapons_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/rising/fix/weapons_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/rising/fix/weapons_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/rising/fix/weapons_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/Content/Terrain/rising/fix/weapons_server.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "rising/fix/weapons_server.zip"
D:\bf2editor\Code\BF2\IO\Console\Console.cpp(1402): (0) Unknown object or method!: ***fileManager.mountArchive Rising/Branding/Menu_client.zip Menu***  (clientarchives.con)
D:\bf2editor\Code\BF2\IO\Console\Console.cpp(1402): (0) Wrong syntax!: --- DOOMSDAY AND NIGHT MAPS ASSETS ---  (clientarchives.con)
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/rising/objects/common_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bfheroes/rising/objects/common_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/rising/objects/common_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/rising/objects/common_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/rising/objects/common_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/Content/Terrain/rising/objects/common_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "rising/objects/common_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/rising/objects/effects_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bfheroes/rising/objects/effects_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/rising/objects/effects_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/rising/objects/effects_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/rising/objects/effects_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/Content/Terrain/rising/objects/effects_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "rising/objects/effects_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/rising/objects/staticobjects_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bfheroes/rising/objects/staticobjects_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/rising/objects/staticobjects_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/rising/objects/staticobjects_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/rising/objects/staticobjects_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/Content/Terrain/rising/objects/staticobjects_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "rising/objects/staticobjects_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/rising/common_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bfheroes/rising/common_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/rising/common_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/rising/common_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "mods/bf2/rising/common_client.zip"
D:\bf2editor\Code\BF2\IO\File\ZipArchive.cpp(323): Couldn't open zip file "BF2Editor/Content/Terrain/rising/common_client.zip"
